Instrument,ICB Industry name,Rank
AAPL.OQ,Technology,1
T.N,Telecommunications,2
BABA.N,Consumer Discretionary,3
AMZN.OQ,Consumer Discretionary,4
MSFT.OQ,Technology,5
XOM.N,Energy,6
WMT.N,Consumer Discretionary,7
VZ.N,Telecommunications,8
F.N,Consumer Discretionary,9
CMCSA.OQ,Telecommunications,10
DIS.N,Consumer Discretionary,11
CVX.N,Energy,12
CSCO.OQ,Telecommunications,13
KO.N,Consumer Staples,14
PG.N,Consumer Staples,15
JNJ.N,Health Care,16
MRK.N,Health Care,17
NEE.N,Utilities,18
INTC.OQ,Technology,19
TSLA.OQ,Consumer Discretionary,20
NTES.OQ,Consumer Discretionary,21
PEP.OQ,Consumer Staples,22
ORCL.N,Technology,23
BMY.N,Health Care,24
V.N,Industrials,25
YNDX.OQ,Technology,26
WBA.OQ,Consumer Staples,27
ICE.N,Financials,28
TMO.N,Health Care,29
MDT.N,Health Care,30
ABT.N,Health Care,31
LIN.N,Basic Materials,32
HPE.N,Technology,33
MDLZ.OQ,Consumer Staples,34
CME.OQ,Financials,35
LLY.N,Health Care,36
TMUS.OQ,Telecommunications,37
FISV.OQ,Industrials,38
NFLX.OQ,Consumer Discretionary,39
PODD.OQ,Health Care,40
FIS.N,Industrials,41
KR.N,Consumer Staples,42
GILD.OQ,Health Care,43
LMT.N,Industrials,44
CAH.N,Health Care,45
MA.N,Industrials,46
COST.OQ,Consumer Discretionary,47
HON.OQ,Industrials,48
AMT.N,Real Estate,49
KDP.OQ,Consumer Staples,50
CRM.N,Technology,51
ADP.OQ,Industrials,52
ET.N,Energy,53
MO.N,Consumer Staples,54
QCOM.OQ,Technology,55
KMI.N,Energy,56
BIDU.OQ,Technology,57
COP.N,Energy,58
ADBE.OQ,Technology,59
DAL.N,Consumer Discretionary,60
EQIX.OQ,Real Estate,61
LOW.N,Consumer Discretionary,62
STNE.OQ,Industrials,63
TGT.N,Consumer Discretionary,64
KHC.OQ,Consumer Staples,65
UPS.N,Industrials,66
ADM.N,Consumer Staples,67
UNP.N,Industrials,68
SO.N,Utilities,69
SPGI.N,Financials,70
CI.N,Health Care,71
DHR.N,Health Care,72
EXC.OQ,Utilities,73
NOC.N,Industrials,74
DD.N,Industrials,75
GPN.N,Industrials,76
SHW.N,Industrials,77
CCL.N,Consumer Discretionary,78
MU.OQ,Technology,79
NSC.N,Industrials,80
VLO.N,Energy,81
WMB.N,Energy,82
APD.N,Basic Materials,83
CNC.N,Health Care,84
JCI.N,Industrials,85
DG.N,Consumer Discretionary,86
PSX.N,Energy,87
COO.N,Health Care,88
PYPL.OQ,Industrials,89
DOW.N,Basic Materials,90
ECL.N,Basic Materials,91
D.N,Utilities,92
AWK.N,Utilities,93
MMC.N,Financials,94
SYK.N,Health Care,95
DXCM.OQ,Health Care,96
VNDA.OQ,Health Care,97
RCL.N,Consumer Discretionary,98
BIIB.OQ,Health Care,99
CCI.N,Real Estate,100
ABC.N,Consumer Staples,101
CABO.N,Telecommunications,102
BSX.N,Health Care,103
TFX.N,Health Care,104
ZTS.N,Health Care,105
BALL.N,Industrials,106
AON.N,Financials,107
BKR.OQ,Energy,108
AMD.OQ,Technology,109
PARA.OQ,Consumer Discretionary,110
CTVA.N,Consumer Staples,111
ITW.N,Industrials,112
MLM.N,Industrials,113
CVS.N,Consumer Staples,114
MPC.N,Energy,115
TJX.N,Consumer Discretionary,116
MPLX.N,Energy,117
OXY.N,Energy,118
VST.N,Utilities,119
MMM.N,Industrials,120
FE.N,Utilities,121
EL.N,Consumer Discretionary,122
IP.N,Basic Materials,123
SRE.N,Utilities,124
GOOGL.OQ,Technology,125
ZM.OQ,Technology,126
PEG.N,Utilities,127
XEL.OQ,Utilities,128
EBAY.OQ,Consumer Discretionary,129
RSG.N,Utilities,130
CSX.OQ,Industrials,131
CHE.N,Health Care,132
NVDA.OQ,Technology,133
RTX.N,Industrials,134
WM.N,Utilities,135
NEM.N,Basic Materials,136
PAA.OQ,Energy,137
FLEX.OQ,Technology,138
LVS.N,Consumer Discretionary,139
VRTX.OQ,Health Care,140
FCX.N,Basic Materials,141
GM.N,Consumer Discretionary,142
QRTEA.OQ,Consumer Discretionary,143
IPG.N,Consumer Discretionary,144
GD.N,Industrials,145
AEP.OQ,Utilities,146
NKE.N,Consumer Discretionary,147
MCO.N,Financials,148
ILMN.OQ,Health Care,149
VIPS.N,Consumer Discretionary,150
WTW.OQ,Financials,151
ATVI.OQ,Consumer Discretionary,152
AMAT.OQ,Technology,153
DXC.N,Technology,154
GIS.N,Consumer Staples,155
CHTR.OQ,Telecommunications,156
LUMN.N,Telecommunications,157
WEC.N,Utilities,158
IBM.N,Technology,159
AIU.N,Consumer Discretionary,160
MCK.N,Consumer Staples,161
MCHP.OQ,Technology,162
BMRN.OQ,Health Care,163
OMI.N,Health Care,164
PH.N,Industrials,165
AMGN.OQ,Health Care,166
TXN.OQ,Technology,167
CAT.N,Industrials,168
TSN.N,Consumer Staples,169
RNG.N,Technology,170
HAL.N,Energy,171
EOG.N,Energy,172
AEE.N,Utilities,173
HSY.N,Consumer Staples,174
PNW.N,Utilities,175
DUK.N,Utilities,176
NLOK.OQ,Technology,177
VMC.N,Industrials,178
EMR.N,Industrials,179
PDD.OQ,Technology,180
AVGO.OQ,Technology,181
ATUS.N,Telecommunications,182
NOW.N,Technology,183
META.OQ,Technology,184
EBS.N,Health Care,185
ZBH.N,Health Care,186
ACN.N,Industrials,187
OMC.N,Consumer Discretionary,188
ODFL.OQ,Industrials,189
LULU.OQ,Consumer Discretionary,190
CL.N,Consumer Staples,191
LDOS.N,Technology,192
PPL.N,Utilities,193
ORLY.OQ,Consumer Discretionary,194
SSNC.OQ,Technology,195
ROK.N,Industrials,196
MGM.N,Consumer Discretionary,197
GLNG.OQ,Energy,198
CDW.OQ,Technology,199
STE.N,Health Care,200
TYL.N,Technology,201
SWK.N,Industrials,202
SNPS.OQ,Technology,203
BEST.N,Industrials,204
VTRS.OQ,Health Care,205
BDX.N,Health Care,206
UHS.N,Health Care,207
GLW.N,Technology,208
PAGP.OQ,Energy,209
VMW.N,Technology,210
IDXX.OQ,Health Care,211
VRSK.OQ,Industrials,212
DOCU.OQ,Technology,213
TT.N,Industrials,214
MRVL.OQ,Technology,215
SYY.N,Consumer Staples,216
UBER.N,Consumer Discretionary,217
GE.N,Industrials,218
NWL.OQ,Consumer Discretionary,219
BIP.N,Utilities,220
REGN.OQ,Health Care,221
FDX.N,Industrials,222
CMS.N,Utilities,223
MRO.N,Energy,224
NDSN.OQ,Industrials,225
BZUN.OQ,Technology,226
LUV.N,Consumer Discretionary,227
FTV.N,Industrials,228
DLTR.OQ,Consumer Discretionary,229
CMI.N,Industrials,230
ATNI.OQ,Telecommunications,231
MAR.OQ,Consumer Discretionary,232
FMC.N,Basic Materials,233
JLL.N,Real Estate,234
BAX.N,Health Care,235
KLAC.OQ,Technology,236
TAL.N,Consumer Discretionary,237
AJG.N,Financials,238
FICO.N,Industrials,239
NVCR.OQ,Health Care,240
UAL.OQ,Consumer Discretionary,241
SQ.N,Industrials,242
K.N,Consumer Staples,243
BKNG.OQ,Consumer Discretionary,244
IEX.N,Industrials,245
CNP.N,Utilities,246
MKC.N,Consumer Staples,247
EIX.N,Utilities,248
AVY.N,Basic Materials,249
DOV.N,Industrials,250
STZ.N,Consumer Staples,251
TME.N,Consumer Discretionary,252
EDU.N,Consumer Discretionary,253
CAG.N,Consumer Staples,254
LRCX.OQ,Technology,255
NDAQ.OQ,Financials,256
ZBRA.OQ,Industrials,257
VEEV.N,Health Care,258
AME.N,Industrials,259
PEN.N,Health Care,260
TECK.N,Basic Materials,261
ED.N,Utilities,262
WST.N,Health Care,263
M.N,Consumer Discretionary,264
ES.N,Utilities,265
LYV.N,Consumer Discretionary,266
QIWI.OQ,Industrials,267
DTE.N,Utilities,268
INTU.OQ,Technology,269
WBD.OQ,Consumer Discretionary,270
H.N,Consumer Discretionary,271
JBL.N,Technology,272
NI.N,Utilities,273
STX.OQ,Technology,274
