Instrument,ICB Industry name,Rank
GPRK.N,Energy,1
SRE.N,Utilities,2
HESM.N,Energy,3
RDNT.OQ,Health Care,4
HEP.N,Energy,5
BDX.N,Health Care,6
ATKR.N,Industrials,7
PAGP.OQ,Energy,8
BIP.N,Utilities,9
VRNA.OQ,Health Care,10
XPEL.OQ,Consumer Discretionary,11
CVI.N,Energy,12
CASA.OQ,Telecommunications,13
EVER.OQ,Technology,14
DTIL.OQ,Health Care,15
NS.N,Energy,16
HOLX.OQ,Health Care,17
KRTX.OQ,Health Care,18
NDSN.OQ,Industrials,19
PEN.N,Health Care,20
MCFT.OQ,Consumer Discretionary,21
OPCH.OQ,Health Care,22
OOMA.N,Telecommunications,23
BALY.N,Consumer Discretionary,24
BWXT.N,Industrials,25
CWENa.N,Utilities,26
SIMO.OQ,Technology,27
ARCO.N,Consumer Discretionary,28
HCCI.OQ,Utilities,29
AWK.N,Utilities,30
AMT.N,Real Estate,31
SRI.N,Consumer Discretionary,32
UNP.N,Industrials,33
JKHY.OQ,Industrials,34
AKRO.OQ,Health Care,35
KOP.N,Basic Materials,36
BBSI.OQ,Industrials,37
NGVT.N,Basic Materials,38
OFIX.OQ,Health Care,39
KRMD.OQ,Health Care,40
SO.N,Utilities,41
DSKE.OQ,Industrials,42
CRDb.N,Financials,43
JELD.N,Industrials,44
ITRI.OQ,Industrials,45
SMTC.OQ,Technology,46
LCII.N,Consumer Discretionary,47
FC.N,Industrials,48
SPXC.N,Industrials,49
FARO.OQ,Industrials,50
RVLP.OQ,Health Care,51
ZEPP.N,Consumer Discretionary,52
AMOT.OQ,Industrials,53
BSM.N,Energy,54
FORM.OQ,Technology,55
NMRK.OQ,Real Estate,56
MMP.N,Energy,57
FIX.N,Industrials,58
VIR.OQ,Health Care,59
POR.N,Utilities,60
D.N,Utilities,61
HII.N,Industrials,62
FHI.N,Financials,63
CCI.N,Real Estate,64
NSP.N,Industrials,65
BERY.N,Industrials,66
GEL.N,Energy,67
PATK.OQ,Industrials,68
SPH.N,Consumer Discretionary,69
PH.N,Industrials,70
TTEC.OQ,Industrials,71
VMC.N,Industrials,72
ATRO.OQ,Industrials,73
OEC.N,Basic Materials,74
UEIC.OQ,Consumer Discretionary,75
MATV.N,Basic Materials,76
ROST.OQ,Consumer Discretionary,77
ALSN.N,Industrials,78
GTES.N,Industrials,79
DQ.N,Basic Materials,80
USNA.N,Consumer Staples,81
HCKT.OQ,Technology,82
ENTG.OQ,Technology,83
DOOR.N,Industrials,84
RETA.OQ,Health Care,85
SJW.N,Utilities,86
VNOM.OQ,Energy,87
RADA.OQ,Industrials,88
MMC.N,Financials,89
CBT.N,Basic Materials,90
CAMP.OQ,Telecommunications,91
TILE.OQ,Consumer Discretionary,92
DCI.N,Industrials,93
MKSI.OQ,Industrials,94
TRU.N,Industrials,95
SGRY.OQ,Health Care,96
ECVT.N,Basic Materials,97
FOXF.OQ,Consumer Discretionary,98
CNTG.OQ,Health Care,99
TSEM.OQ,Technology,100
EXLS.OQ,Industrials,101
NEE.N,Utilities,102
MPWR.OQ,Technology,103
MO.N,Consumer Staples,104
TMDX.OQ,Health Care,105
SSD.N,Industrials,106
ITCI.OQ,Health Care,107
CLB.N,Energy,108
FMC.N,Basic Materials,109
QDEL.OQ,Health Care,110
PEG.N,Utilities,111
MELI.OQ,Consumer Discretionary,112
CABO.N,Telecommunications,113
USAC.N,Energy,114
MLCO.OQ,Consumer Discretionary,115
BMI.N,Industrials,116
HURN.OQ,Industrials,117
ROCK.OQ,Industrials,118
STRA.OQ,Consumer Discretionary,119
MXL.OQ,Technology,120
ED.N,Utilities,121
CRAI.OQ,Industrials,122
VRSK.OQ,Industrials,123
CRI.N,Consumer Discretionary,124
NFE.OQ,Energy,125
CMS.N,Utilities,126
AIT.N,Industrials,127
NOVT.OQ,Technology,128
VZ.N,Telecommunications,129
FREQ.OQ,Health Care,130
AWI.N,Industrials,131
ALNY.OQ,Health Care,132
NWN.N,Utilities,133
FWONA.OQ,Consumer Discretionary,134
TNC.N,Industrials,135
DOV.N,Industrials,136
WHD.N,Energy,137
DIOD.OQ,Technology,138
TECH.OQ,Health Care,139
SR.N,Utilities,140
CARA.OQ,Health Care,141
INGN.OQ,Health Care,142
ARLP.OQ,Energy,143
MUSA.N,Consumer Discretionary,144
PLOW.N,Industrials,145
NEX.N,Energy,146
UFPI.OQ,Basic Materials,147
CAAP.N,Industrials,148
GLP.N,Energy,149
ES.N,Utilities,150
UGI.N,Utilities,151
BRC.N,Industrials,152
TDY.N,Industrials,153
NJR.N,Utilities,154
CAPL.N,Energy,155
TT.N,Industrials,156
LNN.N,Industrials,157
PEP.OQ,Consumer Staples,158
EGRX.OQ,Health Care,159
DLX.N,Industrials,160
UCTT.OQ,Technology,161
RMD.N,Health Care,162
BCPC.OQ,Basic Materials,163
SON.N,Industrials,164
ROG.N,Technology,165
FICO.N,Industrials,166
NI.N,Utilities,167
CF.N,Basic Materials,168
CVCO.OQ,Consumer Discretionary,169
KRP.N,Energy,170
CBZ.N,Industrials,171
FLS.N,Industrials,172
GLDD.OQ,Industrials,173
AME.N,Industrials,174
CSWI.OQ,Industrials,175
MPX.N,Consumer Discretionary,176
CW.N,Industrials,177
LBRT.N,Energy,178
IQV.N,Health Care,179
IIIV.OQ,Industrials,180
SEM.N,Health Care,181
XPRO.N,Energy,182
ACLS.OQ,Technology,183
NWE.OQ,Utilities,184
VREX.OQ,Health Care,185
OI.N,Industrials,186
KLAC.OQ,Technology,187
LFUS.OQ,Industrials,188
DCO.N,Industrials,189
WLKP.N,Basic Materials,190
LXFR.N,Industrials,191
GEF.N,Industrials,192
PGTI.N,Industrials,193
COP.N,Energy,194
SEIC.OQ,Financials,195
CSGS.OQ,Technology,196
AEP.OQ,Utilities,197
EVA.N,Energy,198
PII.N,Consumer Discretionary,199
